objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1.23767E+18,6162,301,3,133,1111,3,258.1343669,64.09049701,22.49037,21.88275,21.27185,20.89672,20.78156,0.3281497,0.07351734,0.06016701,0.06136403,0.2128861
1.23767E+18,6162,301,3,133,1092,3,258.120833,64.09326053,25.32359,22.58471,22.40378,22.15885,23.16862,0.8671053,0.1275048,0.1508694,0.1731334,0.6147791
1.23767E+18,6162,301,3,133,538,3,258.1211659,64.09653506,20.81779,18.98505,18.10111,17.68545,17.34735,0.1160855,0.01117278,0.007905812,0.007744734,0.01839072
1.23767E+18,6162,301,3,133,557,3,258.1380622,64.0957581,25.38673,20.43143,19.58249,19.21134,18.98738,1.092832,0.02707225,0.01848093,0.0186785,0.05473446
1.23767E+18,6162,301,3,133,1097,3,258.1231369,64.08943688,22.55269,20.78822,20.39397,19.98551,19.97561,0.7712131,0.06217839,0.06475735,0.06589161,0.2578578
1.23767E+18,6162,301,3,133,1110,3,258.1298221,64.09765549,26.26352,22.64985,22.3225,22.8514,21.88928,0.6422623,0.1897994,0.2019823,0.4523271,0.6903781
1.23767E+18,6162,301,3,133,91,3,258.1286641,64.08476454,20.98552,18.87458,18.08698,17.70305,17.51882,0.1168002,0.009900299,0.007427228,0.007368355,0.01900527
1.23767E+18,6162,301,3,133,94,6,258.1404043,64.08795589,20.66384,19.39912,19.0281,18.89116,18.85402,0.06758049,0.01162391,0.01083688,0.0123716,0.03662841
1.23767E+18,6162,301,3,133,556,3,258.1419638,64.09718656,18.70765,17.85798,17.73391,17.49046,17.52496,0.02258421,0.005606221,0.006102857,0.006570333,0.02033918
1.23767E+18,6162,301,3,133,564,6,258.1523942,64.09668174,21.29096,19.70034,19.04543,18.78815,18.64877,0.1049584,0.01368435,0.010878,0.01152676,0.03108105
1.23767E+18,6162,301,3,133,680,6,258.1125427,64.09087041,24.88345,20.78678,19.33104,18.51836,18.0749,0.921048,0.02807086,0.01284749,0.009921265,0.02092649
1.23767E+18,6162,301,3,133,1077,3,258.1095941,64.09340559,23.7158,22.35021,21.69571,21.71431,21.67259,1.055021,0.1370274,0.113023,0.1673326,0.5858236
1.23767E+18,6162,301,3,133,1087,3,258.1139232,64.09903891,22.93188,22.22757,22.02582,21.89028,22.84011,0.6717311,0.1379093,0.1646822,0.2106408,1.011278
1.23767E+18,6162,301,3,133,1436,3,258.117111,64.09009767,27.60723,22.31022,21.36779,20.97743,21.72789,0.4109106,0.2777755,0.185044,0.1860384,1.372149
1.23767E+18,6162,301,3,133,73,3,258.157927,64.08875922,20.51149,18.47374,17.58412,17.13854,16.87547,0.07396996,0.0075822,0.005570981,0.005395194,0.01160764
1.23767E+18,6162,301,3,133,77,3,258.1502171,64.08553736,20.90478,18.53858,17.64123,17.19605,16.9106,0.1044246,0.007956353,0.005781264,0.005576731,0.01222019
1.23767E+18,6162,301,3,133,83,3,258.1097797,64.08211976,21.07705,18.82711,17.85458,17.41082,17.12147,0.1178399,0.009114406,0.006221281,0.005945647,0.01355144
1.23767E+18,6162,301,3,133,188,6,258.1694905,64.09815046,24.55052,24.24618,23.03782,21.96429,22.7223,0.934421,0.4764215,0.2381706,0.1279629,0.544968
1.23767E+18,6162,301,3,133,189,3,258.1707342,64.09558236,24.60776,24.59553,23.95067,23.56436,22.13702,2.647128,0.8721582,0.815334,0.824068,1.081775
1.23767E+18,6162,301,3,133,191,3,258.168098,64.0962171,24.79654,25.14916,24.53141,22.77975,22.85342,1.052995,0.6217284,0.64926,0.2905717,0.6557854
1.23767E+18,6162,301,3,133,516,6,258.0894238,64.08747802,23.83983,21.1104,19.8301,19.45891,18.98607,0.7843481,0.04222449,0.01938131,0.01895861,0.04230168
1.23767E+18,6162,301,3,133,540,3,258.1195762,64.10908255,18.62674,17.77855,17.48283,17.19004,17.1299,0.02384325,0.005790633,0.005766704,0.00604723,0.01644538
1.23767E+18,6162,301,3,133,565,3,258.150117,64.09912733,22.12646,20.16824,19.43445,19.04507,18.77232,0.3005954,0.02254238,0.017302,0.01751144,0.05011097
1.23767E+18,6162,301,3,133,566,6,258.1560105,64.0987079,22.06842,21.05774,20.5939,20.48065,20.41827,0.1958779,0.03409633,0.03012633,0.03655694,0.1271333
1.23767E+18,6162,301,3,133,1063,3,258.0969983,64.09831744,23.67861,21.66832,20.04966,19.22316,18.9115,0.8072964,0.06191928,0.02299306,0.01676835,0.04441236
1.23767E+18,6162,301,3,133,1071,3,258.1035903,64.09291371,23.82494,21.51461,21.25737,20.99399,20.3645,1.487638,0.08474298,0.1016067,0.1187998,0.2664008
1.23767E+18,6162,301,3,133,1140,6,258.15229,64.10217796,24.33214,22.90966,21.50833,19.92992,19.13343,0.9019026,0.1498133,0.06126403,0.02395962,0.04436386
1.23767E+18,6162,301,3,133,1149,3,258.1572771,64.10377128,23.07491,22.73141,22.04925,21.50927,21.5215,0.5427075,0.1561205,0.1224214,0.1090612,0.4084467
1.23767E+18,6162,301,3,133,1155,3,258.1666214,64.0928929,21.94035,20.09043,19.24801,18.86247,18.60214,0.2776813,0.02270414,0.01614173,0.01644131,0.04770129
1.23767E+18,6162,301,3,133,1601,3,258.1039922,64.09022037,25.51157,23.99989,25.66896,23.03128,20.49096,0.7390208,0.3788416,0.456016,0.3274711,0.1500361
1.23767E+18,6122,301,4,130,1532,3,258.1087138,64.11497701,24.34735,23.53608,22.72927,22.76271,22.58123,1.090044,0.2763385,0.1898747,0.2850603,0.8146863
1.23767E+18,6122,301,4,130,1706,6,258.1388292,64.11642771,24.62251,23.24701,23.26093,22.33883,22.85503,1.081654,0.2098206,0.2728676,0.1866509,0.7823126
1.23767E+18,6122,301,4,130,1747,3,258.1294974,64.11538661,21.64937,22.77702,21.18946,21.67445,20.95059,0.4718058,0.461898,0.1731869,0.4846381,1.079757
1.23767E+18,6162,301,3,133,58,3,258.1453615,64.07070396,17.96586,15.43528,14.45425,13.74995,13.69962,0.04091508,0.002893313,0.002261275,0.01157152,0.004153927
1.23767E+18,6162,301,3,133,65,6,258.1507762,64.07556085,21.394,18.83411,17.90148,17.57755,17.40944,0.1154012,0.008718759,0.006360497,0.006510855,0.01383154
1.23767E+18,6162,301,3,133,78,6,258.1575074,64.07861451,21.92157,19.4636,18.47704,18.10339,17.89909,0.1747667,0.0121795,0.008166314,0.008105303,0.01863644
1.23767E+18,6162,301,3,133,84,3,258.1384524,64.07166635,21.5802,19.20684,18.25628,17.86593,17.50069,0.1513502,0.01167745,0.007789053,0.007621202,0.01605744
1.23767E+18,6162,301,3,133,88,3,258.0811516,64.07848142,21.35121,19.32233,18.32126,17.88847,17.57718,0.1375045,0.01207493,0.007932189,0.007659927,0.01770128
1.23767E+18,6162,301,3,133,101,3,258.1673832,64.07827018,24.68578,20.7132,20.10403,20.24549,19.81273,1.099524,0.03213293,0.02574845,0.03811704,0.09600873
1.23767E+18,6162,301,3,133,103,6,258.132005,64.07053196,20.69589,25.11439,24.80204,24.36181,22.82691,0.2075054,2.733506,3.085242,2.941505,2.68131
1.23767E+18,6162,301,3,133,110,6,258.1724351,64.08881213,24.7016,22.87504,20.85037,20.03046,19.56118,1.146849,0.1793453,0.04355348,0.0311256,0.07648504
1.23767E+18,6162,301,3,133,115,3,258.1644687,64.07767305,23.53409,21.53579,20.982,20.6626,20.64589,0.6892193,0.05575483,0.04641252,0.0486365,0.1768588
1.23767E+18,6162,301,3,133,125,6,258.1583663,64.07215187,24.5632,23.08382,22.44897,21.81898,22.54263,0.9855727,0.2001608,0.1555948,0.1255393,0.5791476
1.23767E+18,6162,301,3,133,131,6,258.1302639,64.06937315,24.63465,23.2012,22.4243,22.0691,22.62686,0.9496779,0.2085957,0.1415382,0.1451879,0.5528202
1.23767E+18,6162,301,3,133,164,6,258.1512585,64.11230229,16.23311,14.81732,14.35487,14.20413,14.15701,0.005961245,0.003083149,0.003483322,0.003796592,0.004236298
1.23767E+18,6162,301,3,133,165,3,258.1467905,64.11470922,23.35744,22.61294,21.51214,20.94553,20.5763,0.7163914,0.1473489,0.08065146,0.07071268,0.1977085
1.23767E+18,6162,301,3,133,166,3,258.1567903,64.11353311,24.66214,23.03866,22.53659,21.96816,21.81742,1.068818,0.1892106,0.1705136,0.146059,0.4501213
1.23767E+18,6162,301,3,133,184,6,258.1747088,64.09898103,14.79604,13.27761,12.87698,14.68864,13.25998,0.005240832,0.001918895,0.00201756,0.0110995,0.005595992
1.23767E+18,6162,301,3,133,185,6,258.1835406,64.09325016,24.69625,23.14549,21.22955,19.70676,18.90388,0.9593318,0.1887338,0.0503618,0.02103573,0.03849929
1.23767E+18,6162,301,3,133,186,3,258.1799856,64.09993612,23.18479,17.79026,18.14451,17.12288,24.4529,5.185923,0.03284647,0.05043818,0.02401474,3.12078
1.23767E+18,6162,301,3,133,190,3,258.1716485,64.10324349,24.58655,22.63355,21.57668,21.19216,22.40342,1.314386,0.1620702,0.09155596,0.0934241,0.7656288
1.23767E+18,6162,301,3,133,515,6,258.088183,64.08743594,20.19741,18.50898,17.82763,17.6201,17.47179,0.04759213,0.007252492,0.006160984,0.006435833,0.01419008
1.23767E+18,6162,301,3,133,1037,3,258.0886679,64.08331728,22.20808,20.02121,19.18141,18.80113,18.6261,0.4221741,0.02558207,0.01816001,0.01847387,0.05796956
1.23767E+18,6162,301,3,133,1072,6,258.0959902,64.11023744,25.23525,23.11229,22.54583,21.78183,21.72064,0.8258684,0.1813498,0.1507451,0.1093218,0.3675869
1.23767E+18,6162,301,3,133,1091,3,258.1135778,64.1115004,24.096,21.92201,21.46807,21.13831,20.45792,1.275635,0.0932596,0.09097599,0.09970032,0.2123718
1.23767E+18,6162,301,3,133,1133,3,258.1363098,64.11207044,25.35242,21.47177,20.63426,20.25267,20.08774,1.024457,0.05731237,0.03966861,0.04063188,0.1339091
1.23767E+18,6162,301,3,133,1134,6,258.1395901,64.11319533,24.80684,22.97341,21.68406,20.98942,20.44772,1.042642,0.1753403,0.08035046,0.06251041,0.1495711
1.23767E+18,6162,301,3,133,1423,3,258.0836508,64.10156118,25.03918,22.83433,21.90712,21.78161,21.6125,1.357014,0.2088065,0.135934,0.1768311,0.5554273
1.23767E+18,6162,301,3,133,1430,6,258.0856497,64.10324131,24.48966,24.2104,22.25856,20.97079,20.38508,0.927543,0.4014297,0.1137718,0.05333136,0.1219572
1.23767E+18,6162,301,3,133,1442,6,258.1227998,64.11282696,25.69016,23.52301,22.66245,22.51869,22.98412,0.6603081,0.2659541,0.1774219,0.2194385,0.5965712
1.23767E+18,6162,301,3,133,1466,3,258.1837225,64.08532372,24.17021,22.97152,22.42697,22.21053,21.80451,1.221467,0.2124533,0.1889805,0.2198988,0.5553165
1.23767E+18,6162,301,3,133,1570,6,258.1280198,64.11244188,25.74545,25.76965,23.77032,22.24736,21.49258,0.5757317,0.4548079,0.3842694,0.1562198,0.3005939
1.23767E+18,6122,301,4,130,142,6,258.0865305,64.11754024,18.30621,16.88082,16.42195,16.29484,16.25017,0.0162175,0.004145976,0.004884467,0.005095842,0.00822505
1.23767E+18,6122,301,4,130,472,3,258.136014,64.12750761,19.94158,18.79695,18.41318,18.16191,17.9876,0.06661949,0.01031613,0.01082504,0.01251604,0.04365639
1.23767E+18,6122,301,4,130,473,6,258.1326857,64.12639921,24.40278,24.06325,23.00514,24.01621,22.30289,0.9963146,0.3764213,0.210273,0.528694,0.6677285
1.23767E+18,6122,301,4,130,488,3,258.1489846,64.12706868,24.41335,20.95985,20.19982,19.78746,19.42088,2.040565,0.05493363,0.04213041,0.04412221,0.1636514
1.23767E+18,6122,301,4,130,668,3,258.0687107,64.11241656,21.99095,22.28728,21.54308,21.59599,21.60467,0.249837,0.1122706,0.08300267,0.1294345,0.5883874
1.23767E+18,6122,301,4,130,1115,3,258.0920972,64.11614057,22.36199,22.3192,21.63247,21.44205,20.31321,0.4449971,0.1525027,0.1309295,0.1728314,0.2816235
1.23767E+18,6122,301,4,130,1137,6,258.0991427,64.12517334,24.21783,24.42539,23.08043,23.05298,23.51018,0.9446945,0.4635545,0.2198552,0.3078702,0.5968823
1.23767E+18,6122,301,4,130,1169,6,258.1155454,64.12460365,22.88211,21.54706,20.86308,20.68567,20.20863,0.3971516,0.04889225,0.03545284,0.04268783,0.1359033
1.23767E+18,6122,301,4,130,1171,6,258.1188579,64.12210429,22.09383,21.18408,20.84322,20.75255,20.45758,0.2107227,0.03703649,0.03495898,0.0449516,0.169082
1.23767E+18,6122,301,4,130,1191,3,258.1303371,64.12503676,25.67717,22.67676,22.73038,22.38771,21.45927,0.9681267,0.175721,0.2545804,0.2892573,0.5972532
1.23767E+18,6122,301,4,130,1253,3,258.1619367,64.11649892,23.12531,21.27815,20.5983,20.26829,20.21789,0.7942919,0.05890189,0.04736878,0.05226792,0.2372136
1.23767E+18,6122,301,4,130,1274,6,258.1699319,64.12093189,24.6429,22.43234,21.62755,21.5689,20.84018,1.022549,0.1027141,0.06725095,0.09210274,0.2430001
1.23767E+18,6122,301,4,130,1275,3,258.1709032,64.12261934,23.00466,24.16609,22.91628,22.04314,22.06342,0.474196,0.4124005,0.2026731,0.1434327,0.6173461
1.23767E+18,6122,301,4,130,1502,3,258.0571043,64.10888972,26.56431,23.47456,21.94929,21.37501,21.30499,0.6044864,0.449441,0.1731272,0.1561496,0.6958871
